; Puria_magnitude,
; X,Y
0.134648961,33.07853981
0.145074697,32.93026756
0.153829599,32.7819953
0.165740472,32.55958691
0.174808816,32.37424659
0.188344089,32.15183821
0.19864917,31.92942982
0.212893275,31.6328853
0.223348596,31.37340885
0.238092075,31.03979627
0.249784924,30.74325176
0.262052017,30.37257112
0.274921555,30.00189047
0.286890785,29.59414176
0.305828751,29.44586951
0.329508768,29.26052918
0.349393814,29.14932499
0.374447038,28.9269166
0.399164685,28.70450822
0.42551397,28.48209983
0.451192694,28.25969145
0.48354539,27.96314693
0.51000215,27.70367048
0.537906469,27.40712596
0.56432339,27.11058145
0.595199847,26.66576468
0.621113,26.3321521
0.641285581,26.03560758
0.662113329,25.99853952
0.702070244,25.85026726
0.752412072,25.701995
0.802079593,25.55372275
0.86418382,25.33131436
0.916335193,25.1830421
0.9925594,25.1830421
1.046866414,25.25717823
1.133948698,25.51665468
1.195991702,25.701995
1.281750084,25.92440339
1.351879911,26.14681178
1.456554631,26.36922016
1.528086935,26.66576468
1.628957578,26.99937726
1.718084558,27.25885371
1.831497147,27.51833016
1.92144311,27.74073854
2.070218543,28.03728306
2.195151154,28.29675951
2.340055416,28.5191679
2.48127202,28.77864435
2.659191208,28.88984854
2.849868061,29.0381208
3.054217366,29.22346112
3.255829502,29.22346112
3.526661641,29.18639305
3.759460326,29.14932499
4.02903179,28.96398467
4.294992463,28.85278048
4.602964167,28.59330402
4.829018598,28.25969145
5.066174702,27.8890108
5.286740212,27.51833016
5.51690846,27.07351339
5.72651114,26.73990081
6.007743661,26.25801597
6.269302159,25.99853952
6.754728005,25.88733533
6.900201446,26.18387984
7.011358889,26.70283274
7.048807881,27.14764951
7.239074628,27.62953435
7.394979217,28.07435112
7.594590082,28.59330402
7.883129659,28.96398467
8.226336638,29.37173338
8.630337143,29.70534596
9.298575586,29.48293757
9.859721812,29.26052918
10.39918781,28.85278048
10.73693385,28.48209983
10.90989839,28.25969145
