; Puria_phase,
; X,Y
0.134725511,-0.223443223
0.145923051,-0.220695971
0.154721814,-0.21978022
0.16847568,-0.217032967
0.17958765,-0.216117216
0.193481269,-0.214285714
0.205147663,-0.213369963
0.222198252,-0.211538462
0.238117598,-0.20970696
0.256539328,-0.205128205
0.27056399,-0.202380952
0.291495903,-0.196886447
0.310721787,-0.192307692
0.334760467,-0.188644689
0.35118714,-0.184065934
0.378356381,-0.177655678
0.40331123,-0.172161172
0.429911998,-0.166666667
0.455834521,-0.161172161
0.483320103,-0.154761905
0.51246299,-0.148351648
0.543363113,-0.14010989
0.579201134,-0.134615385
0.610865286,-0.123626374
0.634054627,-0.115384615
0.665167642,-0.105311355
0.694103043,-0.097985348
0.72816263,-0.087912088
0.755804749,-0.078754579
0.792892034,-0.067765568
0.822991376,-0.058608059
0.867983215,-0.047619048
0.896150502,-0.039377289
0.950185939,-0.028388278
0.981020821,-0.02014652
1.029159442,-0.009157509
1.073928819,-0.000915751
1.138683805,0.008241758
1.188217592,0.015567766
1.25317586,0.026556777
1.307690156,0.033882784
1.386540313,0.043040293
1.454577748,0.048534799
1.567109701,0.054945055
1.661602151,0.057692308
1.799704115,0.057692308
1.908221375,0.056776557
2.066820784,0.052197802
2.191444453,0.049450549
2.360983361,0.042124542
2.463688297,0.037545788
2.640198718,0.028388278
2.769753081,0.023809524
2.968191448,0.014652015
3.09731049,0.008241758
3.301596492,-0.000915751
3.445218959,-0.008241758
3.672451589,-0.017399267
3.832206592,-0.024725275
4.063278221,-0.033882784
4.262662993,-0.04029304
4.448092732,-0.047619048
4.817790339,-0.053113553
4.974134472,-0.054945055
5.135552195,-0.0503663
5.330505272,-0.042124542
5.621916874,-0.032051282
5.773543483,-0.021062271
5.929259558,-0.009157509
6.089175392,0.001831502
6.220207901,0.013736264
6.35406009,0.023809524
6.456336098,0.036630037
6.560258357,0.048534799
6.665853366,0.057692308
6.845635595,0.054945055
7.181550445,0.051282051
7.655216303,0.042124542
7.988225213,0.034798535
8.247454457,0.023809524
8.424930813,0.011904762
8.652156459,-0.000915751
8.885510524,-0.01007326
9.222817508,-0.021978022
9.471562658,-0.032051282
9.831117039,-0.043956044
10.04267211,-0.054029304
10.36857107,-0.065934066
10.70504592,-0.066849817
11.1707252,-0.054945055
11.4111072,-0.045787546
11.59478228,-0.032051282
11.71887189,-0.021062271
11.9075008,-0.007326007
