; Voss_magnitude,
; X,Y
0.123648084,35.52503206
0.132514249,35.26555561
0.141261655,34.9690111
0.151390798,34.63539852
0.160526862,34.30178594
0.172037413,34.07937755
0.183393786,33.74576497
0.195499804,33.41215239
0.208404954,33.07853981
0.223348596,32.7819953
0.238092075,32.55958691
0.255164426,32.22597433
0.274921555,31.96649788
0.293069419,31.70702143
0.312415243,31.44754498
0.336605245,31.18806853
0.356918546,30.92859208
0.380479119,30.52084337
0.40559495,30.15016273
0.434678067,29.89068628
0.463371628,29.63120983
0.491334969,29.37173338
0.529378549,29.00105273
0.561325245,28.63037209
0.598378922,28.33382757
0.641285581,28.03728306
0.683617524,27.66660242
0.721021055,27.33298984
0.764532907,26.92524113
0.815000537,26.62869661
0.882795346,26.55456048
0.956229581,26.55456048
1.035772353,26.55456048
1.115971179,26.59162855
1.215258296,26.66576468
1.302398186,26.73990081
1.395786426,26.44335629
1.487923772,26.18387984
1.603132234,25.92440339
1.718084558,25.85026726
1.841279519,26.07267565
1.973308154,26.29508403
2.081275972,25.88733533
2.206875871,25.47958662
2.315256917,25.77613113
2.454976992,26.14681178
2.575542438,26.59162855
2.645063425,26.48042436
2.687673555,26.70283274
2.716460975,26.99937726
2.76022127,27.51833016
2.804686514,27.77780661
2.895777452,28.07435112
3.054217366,28.25969145
3.187188503,27.77780661
3.290702386,27.25885371
3.325948791,26.70283274
3.397578206,26.14681178
3.526661641,26.10974371
3.699858186,26.55456048
3.820022616,27.03644532
3.840426078,27.18471758
