; Voss_phase,
; X,Y
0.105466866,-0.21978022
0.114232612,-0.221611722
0.124387224,-0.225274725
0.135444521,-0.226190476
0.146701822,-0.227106227
0.157212242,-0.226190476
0.170278739,-0.225274725
0.184431241,-0.224358974
0.199760011,-0.224358974
0.216362812,-0.223443223
0.234345534,-0.222527473
0.251135169,-0.221611722
0.272007951,-0.220695971
0.291495903,-0.217032967
0.319102148,-0.211538462
0.341964153,-0.210622711
0.370386071,-0.211538462
0.399040619,-0.20970696
0.427629799,-0.204212454
0.46317171,-0.201465201
0.504344969,-0.200549451
0.543363113,-0.1996337
0.585399857,-0.196886447
0.630688732,-0.192307692
0.675874291,-0.184981685
0.72429716,-0.177655678
0.767970308,-0.168498168
0.814276827,-0.16025641
0.849698614,-0.15018315
0.896150502,-0.138278388
0.945141853,-0.128205128
0.996811495,-0.118131868
1.062557127,-0.10989011
1.138683805,-0.103479853
1.213786757,-0.097069597
1.307690156,-0.096153846
1.431535514,-0.096153846
1.542284828,-0.094322344
1.652781494,-0.087912088
1.733883364,-0.078754579
1.838431813,-0.06959707
1.980660252,-0.065934066
2.088940301,-0.063186813
2.111296546,-0.048534799
2.122564232,-0.034798535
2.133892051,-0.021062271
2.145280326,-0.007326007
2.168239532,0.005494505
2.214897717,0.011904762
2.311247793,0.000915751
2.490055167,-0.004578755
2.598374844,-0.015567766
2.682695795,-0.027472527
2.740424525,-0.012820513
2.740424525,-0.002747253
2.755049777,0.012820513
2.740424525,0.025641026
2.859635499,0.012820513
2.936761654,0.002747253
3.01596795,-0.01007326
3.080868339,-0.022893773
3.147165315,-0.035714286
3.197822611,-0.049450549
3.21488893,-0.065018315
3.266636316,-0.076923077
3.354739538,-0.08974359
3.426929927,-0.097985348
3.538138666,-0.084249084
3.672451589,-0.070512821
3.73156398,-0.05952381
3.832206592,-0.046703297
3.956567133,-0.043956044
4.041708206,-0.055860806
